# Collision classes of the loopy polynomial L_G.
# Read from 38 result file(s) in res10_1.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 10 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 1285
# by size    : 1281 of size 2, 4 of size 4
# graphs     : 2578
# pairs      : 1305
# edge range : 14..32
#
10 21 I?`alRovw I?`alawzw
10 21 I?`alZY|O I?`aljYnO
10 21 I?`aliNVW I?`cjdNiw
10 21 I?`anJLtg I?`bMjTro
10 21 I?`befYZg I?`eatuyg
10 21 I?`c]Zb^_ I?bFEWn}_
10 21 I?`ciujNg I?`eHtZfg
10 21 I?`ck^Mww I?bFEYVJw
10 21 I?`ckzRRw I?`cmVTFw
10 21 I?`cmVdTw I?`cmZRXw
10 21 I?`cmpl[w I?`cnPZ\W
10 21 I?`cmqu^O I?`eLq]^O
10 21 I?`cmqumg I?`eLq]ug
10 21 I?`cmqupw I?`eLNYfo
10 21 I?`cvH]No I?`e`zMNo
10 21 I?`cv`[]w I?`e`zW]w
10 21 I?`cv`ytg I?`ebo}ug
10 21 I?`c}r[lO I?`ena{tO
10 21 I?`eVas^o I?`eeqs^o
10 21 I?`ebRP^w I?`ebRP~W
10 21 I?`ebTt}_ I?`fEpZ^_
10 21 I?`ebVo^o I?`ebVovo
10 21 I?`elXw|O I?`elhwv_
10 21 I?`enP{Fo I?`fJr[Fo
10 21 I?`etrc}G I?`etro|G
10 21 I?`vBZMeo I?beawzr_
10 21 I?aJEVd}W I?bBEWn^W
10 21 I?b@dVdNw I?b@delZw
10 21 I?bBVIZ\g I?bBVJYLw
10 21 I?bBeUtjg I?bFDhZjo
10 21 I?bDNGnuo I?bDNJYJw
10 21 I?bDNG}uo I?bDNJYNo
10 21 I?bLV`]\_ I?ov?}{^?
10 21 I?bL`pm|G I?bebRYNg
10 21 I?bNf_{qg I?rFdo{pg
10 21 I?bavP]NO I?otTjURo
10 21 I?bavRqpo I?ovDo}Jo
10 21 I?be`zWYw I?ov?}wtg
10 21 I?be`zWdw I?ov?}wJw
10 21 I?be`zW~? I?ov?}w}O
10 21 I?bebb[~? I?qdRbq|_
10 21 I?otQxefW I?otQyUZW
10 21 I?otQzef_ I?ovCx]io
10 21 I?otRbb\o I?ouTal}O
10 21 I?otUam}_ I?otUbYz_
10 21 I?ot\ro]G ICQfdpwxG
10 21 I?ouTbwJw I?ovDbwLw
10 21 I?ovDTkxW I?ovDVczG
10 21 I?ovEj[x_ ICQbVbe}?
10 21 I?ovEjqv? ICQebhy^?
10 21 I?q`qxefg I?q`qyUZg
10 21 I?qa`xffW I?qa`yVZW
10 21 I?qa`xjfg I?qa`yZZg
10 21 I?qabW}fo I?qacw}Zo
10 21 I?qadrqnG ICQRDrkmg
10 21 I?qafJJxg ICQRErFug
10 21 I?qb]ZoyG ICQe^Pkwo
10 21 I?qbczWnO I?qbeYsnO
10 21 I?qberqx_ I?qbfRs[o
10 21 I?qdRZswo ICQfBZkio
10 21 I?qjbay]O ICRcrRwjO
10 21 I?qvAuw|? I?qvCts}?
10 21 I?qvCt[VO I?rDvPsXo
10 21 I?qvCtw^? ICpbfG]n?
10 21 I?qvEWymO ICpdf_{fO
10 21 I?qvFPY|? ICQbvPk|?
10 21 ICOedHi~W ICOedHi~o
10 21 ICOedHj~O ICOedHj~_
10 21 ICOfDpurW ICOfDrL\o
10 21 ICOfDpuro ICOfDrM\o
10 21 ICQRErezO ICQRFRqzO
10 21 ICQRRVS}G ICQRRVo|G
10 21 ICQTbIxzG ICQdb_}Rw
10 21 ICQVVP[kg ICQevP[hW
10 21 ICQVepkwo ICQfMhwqo
10 21 ICQbQ^stO ICRcrPft_
10 21 ICQbR`{sw ICQe`rwhw
10 21 ICQbRjUpo ICQeRj[rO
10 21 ICQbTdk|_ ICQbddkz_
10 21 ICQbTdk~? ICQbddk~?
10 21 ICQbUd{Lo ICQbUfwLo
10 21 ICQbVJUFo ICQbfamqo
10 21 ICQbed[vG ICQeeXqVo
10 21 ICQbvPsVO ICQffP[VO
10 21 ICQdbRF^_ ICQdbRp^_
10 21 ICQdbRFpw ICQdbRp{W
10 21 ICQeJP\|O ICQeJRsvO
10 21 ICQeJQtvO ICQeJRX|O
10 21 ICQeJalvO ICQeJbkvO
10 21 ICQeMpwNo ICQefC{~?
10 21 ICQeRLw}O ICQfCw{Vo
10 21 ICQeRL{do ICQeeT{xO
10 21 ICQeRN[\_ ICQebrwxO
10 21 ICQeRhuv? ICQfAxuv?
10 21 ICQe^PsuG ICRVBgyuG
10 21 ICQeuXwTW ICRcuoypg
10 21 ICQfJZW{O ICQvFD[z?
10 21 ICQfdX[Pw ICQfdX[ow
10 21 ICQfdX[uO ICpbfGyjG
10 21 ICQfdX[}? ICpbfG]}?
10 21 ICQrVJWKw ICQtepkXo
10 21 ICQrVJWeo ICQtepkr_
10 21 ICQuRhwJg ICR`uiwJg
10 21 ICQvES{\O ICdedhkj_
10 21 ICR`uiwIw ICR`ujgIw
10 21 ICRbcpl[o ICpdQhudo
10 21 ICRcrOx|O ICdebQsyo
10 21 ICRcrQ\fO ICRcrRbwo
10 21 ICRcuWy\_ ICRcuhiMW
10 21 ICRcuhi}? ICRcuhw]_
10 21 ICXedT[n? ICpddXY^?
10 21 ICpbQysm_ ICpddXY\_
10 21 ICpbUoul_ ICpdeWy^?
10 21 ICpbaykm_ ICpdcxi|?
10 21 ICpbegyyG ICpdehi}?
10 21 ICpddXYbW ICpddXYbo
10 21 ICQteXi}? ICQteXw]_ ICpdeS{^? ICpdeTsNO
10 22 I?ABfTv}o I?ABfT}yw
10 22 I?B@dNs~w I?BDEhu~w
10 22 I?B@tjj|W I?B@vI|{w
10 22 I?BD`}mzg I?BD`~eng
10 22 I?BDdZluw I?BDeZjnW
10 22 I?BDd]]zo I?BDd^Ung
10 22 I?BDlZfuo I?BDlrNxo
10 22 I?BenRsvO I?BevbeuW
10 22 I?`DUJh~w I?`DVBd~w
10 22 I?`DeZtZw I?`DfH^zW
10 22 I?`alMl|W I?`alMtnW
10 22 I?`alRo~w I?`alaw~w
10 22 I?`alZT^W I?`alh\nW
10 22 I?`alZt}_ I?`ali|}_
10 22 I?`anJL|g I?`bMjTvo
10 22 I?`anNUrW I?`bMnMtW
10 22 I?`belmug I?`ebl]yo
10 22 I?`c]Zb}W I?bFEWn^W
10 22 I?`c]nUNo I?bFFfUmg
10 22 I?`ci{}qw I?`eH}]Uw
10 22 I?`cmVdVw I?`cmZRZw
10 22 I?`cmm{^G I?`eLy]^O
10 22 I?`cmm{hw I?bDMzUiw
10 22 I?`cmm{uo I?`eLy]ug
10 22 I?`cmqu}g I?`eLq]}g
10 22 I?`cumu^O I?`e`~M^O
10 22 I?`cunk]o I?`eevkNo
10 22 I?`cv`[zw I?`e`zWzw
10 22 I?`eVasnw I?`eeqsnw
10 22 I?`ebTt}g I?`fEpZ^o
10 22 I?`ebVo^w I?`ebVovw
10 22 I?`ebrSnw I?`fBp[nw
10 22 I?`elZY|O I?`elqtv_
10 22 I?`elp{tg I?`fMp{Ng
10 22 I?`enP{Vo I?`fJr[Vo
10 22 I?`fMrw}_ I?`ferw|_
10 22 I?`vBZMfo I?bLfDmVo
10 22 I?`vCvM^O I?be`zM]o
10 22 I?`vCvMyg I?be`zkrg
10 22 I?aJeUu}g I?bBc]y\w
10 22 I?b@dVtNw I?b@ddnnW
10 22 I?bBbNL|W I?bBbNTvW
10 22 I?bDNG}uw I?bDNJYNw
10 22 I?bDnH]jo I?bDtjLxo
10 22 I?bLbrsZg I?bebo}zG
10 22 I?bN@t]^O I?befG}mo
10 22 I?be`zW]w I?ov?}w|g
10 22 I?befRTkw ICQeNbLiw
10 22 I?optYr~? ICQfDTm~?
10 22 I?otPtuzO ICQfDTynO
10 22 I?otQljfW I?otQmZZW
10 22 I?otQmZZg I?otQm]Yw
10 22 I?otUq]xo I?ovDU\v_
10 22 I?ovDNhzO ICQbRZkpw
10 22 I?ovDXm|_ ICQfBZM}_
10 22 I?ovdq{]_ ICQbvbwx_
10 22 I?ovfQ{]_ ICQburwx_
10 22 I?q`trYxo I?q`trd}_
10 22 I?qa~b[\O ICQVbZk{O
10 22 I?qbTjY^O I?qbUhynO
10 22 I?qbbrL}O I?qbbr[]W
10 22 I?qbcz[nO I?qbeY{nO
10 22 I?qbfRs\o ICQbVbw\o
10 22 I?qfEXyxg ICQUeXyrg
10 22 I?qfbq{]_ ICQVRrw\_
10 22 I?qjfay]O I?qvFP{m_
10 22 I?qlrjo]G I?qvN`wVO
10 22 I?qmbayzG I?rLba{yg
10 22 I?qtbq{]_ ICQvBrw\_
10 22 I?qtfHw^_ ICpbfG]~?
10 22 I?qvBbwLw I?rLbbwJw
10 22 I?qvBjwm_ ICQfIzw}?
10 22 I?qvdpsqg ICXfVa[FW
10 22 ICOedHj~W ICOedHj~g
10 22 ICOfDpurw ICOfDrM\w
10 22 ICQRUji}O ICQRVbi|O
10 22 ICQRVbk[w ICQeTjk|_
10 22 ICQTbNJ]o ICQeVbdmo
10 22 ICQUfJL\g ICQeMT]zG
10 22 ICQbQ^s|O ICQeTh]|_
10 22 ICQbReftg ICQbeTflW
10 22 ICQbRfTmo ICQbdZYMw
10 22 ICQbRfez_ ICQbUfLvO
10 22 ICQbUhN|_ ICQeTjeVo
10 22 ICQbUiybw ICQbdZYpw
10 22 ICQbUiy~? ICQbdZY~?
10 22 ICQbVI{Mw ICQbVa{[w
10 22 ICQbdTxtW ICQbeUx\W
10 22 ICQbdrk^_ ICQbeZw^_
10 22 ICQbdrkfW ICQbeYl^G
10 22 ICQbdrkww ICQbeZwww
