# Collision classes of the loopy polynomial L_G.
# Read from 124 result file(s) in res11.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 11 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 22499
# by size    : 22491 of size 2, 4 of size 3, 4 of size 4
# graphs     : 45010
# pairs      : 22527
# edge range : 13..42
#
11 18 J?`@CbPiUH_ J?`@CbgsUH_
11 18 J?`@CbSw`q_ J?`@CbWkbJ?
11 18 J?`@CbWida_ J?`@CbgdUW_
11 18 J?`@CbWlBF? J?`@Cbop_u_
11 18 J?`@CbW{BF? J?`@Cbox@q_
11 18 J?`@CbcEqR_ J?`@CbcEu`_
11 18 J?`@CbcErU? J?`@CbcEvc?
11 18 J?`@CbcMQR_ J?`@CbcMU`_
11 18 J?`@CbcMRU? J?`@CbcMVc?
11 18 J?`@CrCWup? J?`@EaaTMq?
11 18 J?`@CrC]Cx? J?`@CrONEh?
11 18 J?`@EQaLax? J?`@EQaV@m?
11 18 J?`@EQaNAl? J?`@EQaNAm?
11 18 J?`@EQaXO{_ J?`@EQaXO}?
11 18 J?`@EQaXV__ J?`@EQaXVa?
11 18 J?`@EQa\Ei? J?`@Eaa\Eq?
11 18 J?`@EQcIqk_ J?`@EQcMaM_
11 18 J?`@EQcMam? J?`@EQcT`u?
11 18 J?`@EQcP`t_ J?`@EQcP`v?
11 18 J?`@E_wDqV? J?`@E_wDtJ?
11 18 J?`@E_wDqu? J?`@E_wDti?
11 18 J?`@E_whOn? J?`@E`gEph_
11 18 J?`@EaKTDY_ J?`@EaKTF`_
11 18 J?`@EaKV@r? J?`@EaKVBb?
11 18 J?`@EaKt@]? J?`@EaKtBd?
11 18 J?`@Eaax@r? J?`@EaaxAr?
11 18 J?`@`b_Y_N_ J?`D@`g]?\_
11 18 J?`@dFOZEo? J?`DEHaNDo?
11 18 J?`@d`cUaU? J?aJAao]Dc?
11 18 J?`@d`gsfO? J?`@eQo]FC?
11 18 J?`@eEKMFg? J?`DECwLA{?
11 18 J?`@eQcUf_? J?bB@`Sm?{?
11 18 J?`D@RGLei? J?`D@RGTdi?
11 18 J?`D@RGX`y? J?`D@RGXay?
11 18 J?`D@`WbKw_ J?`DA_wbLW_
11 18 J?`D@`esTo? J?`D@`qeVG?
11 18 J?`D@aWcrT? J?`D@aWcrU?
11 18 J?`D@bOJTk? J?`D@bORUk?
11 18 J?`D@bOddY? J?`D@bOdeY?
11 18 J?`D@bPY_]? J?`D@bPYdg?
11 18 J?`D@bPYaU? J?`D@bPYf_?
11 18 J?`DB_kU_V? J?`DB_kUaF?
11 18 J?`DDPaRBs? J?`DDPaRFo?
11 18 J?`DD`gFAm? J?`DD`gFBk?
11 18 J?`DD`gFAu? J?`DD`gFBs?
11 18 J?`DD`gFCJ_ J?`DD`gFDH_
11 18 J?`DD`gFCR_ J?`DD`gFDP_
11 18 J?`DEDcFBo_ J?`DEDcM?{_
11 18 J?`DEHoLdg? J?`DE_s[eg?
11 18 J?`DEPcM_f? J?`DEPcMf_?
11 18 J?`afASIcw? J?`afASIdo?
11 18 J?bB@_Wsee? J?bB@_Wses?
11 18 J?bB@_wdcd? J?bB@_wddc?
11 19 J??CB@XdnX_ J??CB@XlL\_
11 19 J??CB@\ffw? J??CB@\nD{?
